tileID,lon,lat
T01GDJ,-177.5941212184,-46.5439523344
T01GDK,-177.5843695591,-45.6438668005
T01GDL,-177.575071949,-44.7436353125
T01GDM,-177.5662078189,-43.843798184
T01GDN,-177.557742791,-42.943275455
T01GDP,-177.5496603921,-42.0426076034
T01GDQ,-177.5419448887,-41.1423355827
T01GDR,-177.5345682779,-40.2413792939
T01GEH,-176.2652592638,-47.4426188767
T01GEJ,-176.2776928829,-46.5432416759
T01GEK,-176.2895481363,-45.6431779803
T01GEL,-176.3008514129,-44.7429676608
T01GEM,-176.3116277163,-43.8431510597
T01GEN,-176.3219188376,-42.9426482792
T01GEP,-176.3317448016,-42.0419998196
T01GEQ,-176.3411247339,-41.141746656
T01GER,-176.3500926766,-40.2408087419
T01GFH,-174.9392074043,-47.42667430649999
T01GFJ,-174.9736809523,-46.52778742139999
T01GFK,-175.0065585412,-45.628198662
T01GFL,-175.0379120478,-44.7284485717
T01GFM,-175.0678096481,-43.8290781271
T01GFN,-175.0963662362,-42.9290087967
T01GFP,-175.1236364414,-42.0287815797
T01GFQ,-175.1496724946,-41.1289379242
T01GFR,-175.1745681278,-40.2283989406
T01GGH,-173.6156685573,-47.3954440055
T01GGJ,-173.6720677793,-46.4975169682
T01GGK,-173.7258621358,-45.5988578819
T01GGL,-173.7771682381,-44.7000086111
T01GGM,-173.8260967565,-43.8015113779
T01GGN,-173.8728349297,-42.9022903292
T01GGP,-173.917471469,-42.0028874439
T01GGQ,-173.9600912353,-41.1038450996
T01GGR,-174.0008471009,-40.2040866734
T01HBA,-179.545073586,-35.7095666465
T01HBB,-179.5337657335,-34.8082647025
T01HBC,-179.5229493214,-33.9068404301
T01HBD,-179.5126099623,-33.0058359362
T01HBE,-179.5027161393,-32.1041709731
T01HBS,-179.5956653423,-39.3124504105
T01HBT,-179.5821649207,-38.4121877058
T01HBU,-179.5692452331,-37.5112587619
T01HBV,-179.5568875365,-36.6102045893
T01HCA,-178.6081182401,-35.7259932973
T01HCB,-178.5902698636,-34.8245077975
T01HCC,-178.5731968182,-33.9228800572
T01HCD,-178.5568757786,-33.0216531212
T01HCE,-178.5412564364,-32.1197472404
T01HCS,-178.6879836896,-39.3293947743
T01HCT,-178.6666684185,-38.4290369468
T01HCU,-178.6462726124,-37.527989334
T01HCV,-178.626765764,-36.6267939582
T01HDA,-177.5022802955,-35.7355529042
T01HDB,-177.4966407469,-34.8337543127
T01HDC,-177.491246208,-33.9318200412
T01HDD,-177.4860892143,-33.0302929579
T01HDE,-177.481153784,-32.1280926193
T01HDS,-177.5275179233,-39.3402798622
T01HDT,-177.5207816605,-38.4395788862
T01HDU,-177.5143364412,-37.538196141
T01HDV,-177.5081724835,-36.6366734006
T01HEA,-176.3893461582,-35.7350677254
T01HEB,-176.3962023481,-34.8332850782
T01HEC,-176.4027606767,-33.93136642
T01HED,-176.4090302181,-33.0298546279
T01HEE,-176.4150304012,-32.1276692937
T01HES,-176.3586639906,-39.3397272196
T01HET,-176.366853463,-38.4390437033
T01HEU,-176.3746891131,-37.5376780139
T01HEV,-176.382182832,-36.6361719375
T01HFA,-175.2835664125,-35.7245100643
T01HFB,-175.302607378,-34.8230730726
T01HFC,-175.3208212427,-33.9214928203
T01HFD,-175.3382328733,-33.0203123799
T01HFE,-175.3548959246,-32.1184521102
T01HFS,-175.198365303,-39.3277061417
T01HFT,-175.2211044575,-38.4274014954
T01HFU,-175.2428628357,-37.5264058174
T01HFV,-175.2636729575,-36.6252611686
T01HGA,-174.1793147275,-35.7038209886
T01HGB,-174.2104955766,-34.8030600313
T01HGC,-174.240322909,-33.9021415894
T01HGD,-174.2688372037,-33.0016091193
T01HGE,-174.2961261088,-32.1003844819
T01HGS,-174.0398072593,-39.3041544067
T01HGT,-174.0770374587,-38.4045909625
T01HGU,-174.1126637627,-37.5043191048
T01HGV,-174.146739054,-36.6038814357
T01JAM,179.4980619311,-25.7693524852
T01JAN,179.5131577934,-24.8680833937
T01JBF,-179.493256327,-31.202387851
T01JBG,-179.4842191114,-30.3010292978
T01JBH,-179.475578007,-29.3990150429
T01JBJ,-179.4673239156,-28.496888006
T01JBK,-179.4594477395,-27.5951915037
T01JBL,-179.4519271824,-26.6928452395
T01JBM,-179.4447550464,-25.7905641997
T01JBN,-179.428627374,-24.8887153181
T01JCF,-178.5263200897,-31.2177055894
T01JCG,-178.5120482612,-30.3160717753
T01JCH,-178.4983987099,-29.4137658808
T01JCJ,-178.485356686,-28.5113316468
T01JCK,-178.4729074786,-27.6093132274
T01JCL,-178.4610155384,-26.7066305598
T01JCM,-178.4496692014,-25.8038279315
T01JCN,-178.4388567128,-24.9014500197
T01JDF,-177.47643393,-31.2257620668
T01JDG,-177.4719237436,-30.3238447785
T01JDH,-177.4676098121,-29.4212602155
T01JDJ,-177.4634874161,-28.518552024
T01JDK,-177.4595518539,-27.616264266
T01JDL,-177.4557918402,-26.7133163158
T01JDM,-177.4522036438,-25.8102523962
T01JDN,-177.4487835095,-24.9076171209
T01JEF,-176.4207685042,-31.2253534653
T01JEG,-176.42625171,-30.3234506272
T01JEH,-176.4314963243,-29.4208802721
T01JEJ,-176.4365080845,-28.5181860508
T01JEK,-176.441292706,-27.6159120298
T01JEL,-176.4458639084,-26.71297761230001
T01JEM,-176.4502262276,-25.809927024
T01JEN,-176.4543842287,-24.9073048819
T01JFF,-175.3708303342,-31.2164552064
T01JFG,-175.3860558014,-30.3148652959
T01JFH,-175.4006173781,-29.4126025578
T01JFJ,-175.4145307896,-28.5102107477
T01JFK,-175.42781172,-27.6082340342
T01JFL,-175.4404980852,-26.7055924418
T01JFM,-175.4526023207,-25.8028302681
T01JFN,-175.4641369593,-24.9004922001
T01JGF,-174.3222220777,-31.19901116260001
T01JGG,-174.3471571914,-30.2980330696
T01JGH,-174.3710050692,-29.396371726
T01JGJ,-174.3937913163,-28.4945710938
T01JGK,-174.4155414846,-27.5931755424
T01JGL,-174.4363175465,-26.6911063128
T01JGM,-174.456139756,-25.7889078441
T01JGN,-174.4750285368,-24.8871249615
T01JHM,-173.4600009003,-25.7681624636
T01JHN,-173.486218778,-24.86720559600001
T01KAA,179.6101881509,-17.6512117727
T01KAB,179.6196049131,-16.7491222681
T01KAP,179.5275547433,-23.966169884
T01KAQ,179.5412656718,-23.0641557462
T01KAR,179.5543037177,-22.1625851087
T01KAS,179.5667039761,-21.2603786874
T01KAT,179.578476636,-20.3580807393
T01KAU,179.5896322231,-19.4562358298
T01KAV,179.6002000577,-18.5537646131
T01KBA,-179.312056448,-17.6666255509
T01KBB,-179.3007813624,-16.7638224378
T01KBP,-179.4113019168,-23.9862039077
T01KBQ,-179.3948088851,-23.0835748616
T01KBR,-179.3791325354,-22.1813734334
T01KBS,-179.3642307307,-21.2785203062
T01KBT,-179.3500912855,-20.3755608197
T01KBU,-179.3367015948,-19.4730406437
T01KBV,-179.3240265049,-18.5698803028
T01KCA,-178.3694787945,-17.6753595759
T01KCB,-178.3627643606,-16.7720805256
T01KCP,-178.4285481535,-23.9984166354
T01KCQ,-178.4187342938,-23.0952725854
T01KCR,-178.4094057226,-22.1925630381
T01KCS,-178.4005373253,-21.2892076957
T01KCT,-178.3921218132,-20.3857518493
T01KCU,-178.384151652,-19.4827411206
T01KCV,-178.376605887,-18.5790951178
T01KDA,-177.4268056947,-17.6795797469
T01KDB,-177.4246732503,-16.7760690006
T01KDP,-177.4455219385,-24.0043297859
T01KDQ,-177.4424159786,-23.1009351564
T01KDR,-177.4394626236,-22.1979783602
T01KDS,-177.4366538971,-21.2943786226
T01KDT,-177.4339874665,-20.3906812118
T01KDU,-177.4314609254,-19.4874317265
T01KDV,-177.4290676125,-18.5835493294
T01KEA,-176.4811036259,-17.6793669305
T01KEB,-176.4836961365,-16.7758680244
T01KEP,-176.4583494594,-24.0040305081
T01KEQ,-176.4621255087,-23.1006486698
T01KER,-176.4657160309,-22.1977044969
T01KES,-176.4691307234,-21.2941172389
T01KET,-176.4723724215,-20.390432165
T01KEU,-176.4754440508,-19.4871948752
T01KEV,-176.4783537095,-18.5833245548
T01KFA,-175.5381444802,-17.6747030896
T01KFB,-175.5453062778,-16.7714598899
T01KFP,-175.4751339122,-23.9974981289
T01KFQ,-175.4856030194,-23.0943928676
T01KFR,-175.4955543155,-22.1917215912
T01KFS,-175.5050145867,-21.2884040756
T01KFT,-175.513991604,-20.3849856157
T01KFU,-175.5224934004,-19.4820118367
T01KFV,-175.5305423251,-18.5784024158
T01KGA,-174.5961871325,-17.6655342821
T01KGB,-174.6079056101,-16.7627905402
T01KGP,-174.4930360543,-23.9846786695
